Código Unico Territorial,Comuna,Grado Accesibilidad,Nombre Accesibilidad,Numero Región,Provincia,Región,Necesidad de Avión
1101,Iquique,1,Accesible,1,Iquique,Tarapaca,1
1107,Alto Hospicio,1,Accesible,1,Iquique,Tarapaca,1
1401,Pozo Almonte,2,Medianamente,1,Tamarugal,Tarapaca,1
1402,Camiña,3,No Accesible,1,Tamarugal,Tarapaca,1
1403,Colchane,3,No Accesible,1,Tamarugal,Tarapaca,1
1404,Huara,1,Accesible,1,Tamarugal,Tarapaca,1
1405,Pica,2,Medianamente,1,Tamarugal,Tarapaca,1
2101,Antofagasta,1,Accesible,2,Antofagasta,Antofagasta,1
2102,Mejillones,1,Accesible,2,Antofagasta,Antofagasta,1
2103,Sierra Gorda,1,Accesible,2,Antofagasta,Antofagasta,1
2104,Taltal,2,Medianamente,2,Antofagasta,Antofagasta,1
2201,Calama,1,Accesible,2,El Loa,Antofagasta,1
2202,Ollague,3,No Accesible,2,El Loa,Antofagasta,1
2203,San Pedro de Atacama,2,Medianamente,2,El Loa,Antofagasta,1
2301,Tocopilla,1,Accesible,2,Tocopilla,Antofagasta,1
2302,María Elena,1,Accesible,2,Tocopilla,Antofagasta,1
3101,Copiapó,1,Accesible,3,Copiapo,Atacama,1
3102,Caldera,1,Accesible,3,Copiapo,Atacama,1
3103,Tierra Amarilla,1,Accesible,3,Copiapo,Atacama,1
3201,Chañaral,1,Accesible,3,Chañaral,Atacama,1
3202,Diego de Almagro,1,Accesible,3,Chañaral,Atacama,1
3301,Vallenar,1,Accesible,3,Huasco,Atacama,1
3302,Alto del Carmen,2,Medianamente,3,Huasco,Atacama,1
3303,Freirina,2,Medianamente,3,Huasco,Atacama,1
3304,Huasco,2,Medianamente,3,Huasco,Atacama,1
4101,La Serena,1,Accesible,4,Elqui,Coquimbo,1
4102,Coquimbo,1,Accesible,4,Elqui,Coquimbo,1
4103,Andacollo,2,Medianamente,4,Elqui,Coquimbo,1
4104,La Higuera,1,Accesible,4,Elqui,Coquimbo,1
4105,Paihuano,3,No Accesible,4,Elqui,Coquimbo,1
4106,Vicuña,2,Medianamente,4,Elqui,Coquimbo,1
4201,Illapel,2,Medianamente,4,Choapa,Coquimbo,1
4202,Canela,1,Accesible,4,Choapa,Coquimbo,1
4203,Los Vilos,1,Accesible,4,Choapa,Coquimbo,1
4204,Salamanca,2,Medianamente,4,Choapa,Coquimbo,1
4301,Ovalle,1,Accesible,4,Limari,Coquimbo,1
4302,Combarbalá,3,No Accesible,4,Limari,Coquimbo,1
4303,Monte Patria,3,No Accesible,4,Limari,Coquimbo,1
4304,Punitaqui,3,No Accesible,4,Limari,Coquimbo,1
4305,Río Hurtado,3,No Accesible,4,Limari,Coquimbo,1
5101,Valparaíso,1,Accesible,5,Valparaiso,Valparaiso,0
5102,Casablanca,1,Accesible,5,Valparaiso,Valparaiso,0
5103,Concón,1,Accesible,5,Valparaiso,Valparaiso,0
5104,Juan Fernández,3,No Accesible,5,Valparaiso,Valparaiso,0
5105,Puchuncaví,1,Accesible,5,Valparaiso,Valparaiso,0
5106,Quilpué,1,Accesible,5,Valparaiso,Valparaiso,0
5107,Quintero,1,Accesible,5,Valparaiso,Valparaiso,0
5108,Villa Alemana,1,Accesible,5,Valparaiso,Valparaiso,0
5109,Viña del Mar,1,Accesible,5,Valparaiso,Valparaiso,0
5201,Isla de Pascua,3,No Accesible,5,Isla de Pascua,Valparaiso,0
5301,Los Andes,1,Accesible,5,Los Andes,Valparaiso,0
5302,Calle Larga,1,Accesible,5,Los Andes,Valparaiso,0
5303,Rinconada,1,Accesible,5,Los Andes,Valparaiso,0
5304,San Esteban,1,Accesible,5,Los Andes,Valparaiso,0
5401,La Ligua,1,Accesible,5,Petorca,Valparaiso,0
5402,Cabildo,2,Medianamente,5,Petorca,Valparaiso,0
5403,Papudo,1,Accesible,5,Petorca,Valparaiso,0
5404,Petorca,3,No Accesible,5,Petorca,Valparaiso,0
5405,Zapallar,1,Accesible,5,Petorca,Valparaiso,0
5501,Quillota,1,Accesible,5,Quillota,Valparaiso,0
5502,Calera,1,Accesible,5,Quillota,Valparaiso,0
5503,Hijuelas,1,Accesible,5,Quillota,Valparaiso,0
5504,La Cruz,1,Accesible,5,Quillota,Valparaiso,0
5505,Limache,1,Accesible,5,Quillota,Valparaiso,0
5506,Nogales,1,Accesible,5,Quillota,Valparaiso,0
5507,Olmué,1,Accesible,5,Quillota,Valparaiso,0
5601,San Antonio,1,Accesible,5,San Antonio,Valparaiso,0
5602,Algarrobo,1,Accesible,5,San Antonio,Valparaiso,0
5603,Cartagena,1,Accesible,5,San Antonio,Valparaiso,0
5604,El Quisco,1,Accesible,5,San Antonio,Valparaiso,0
5605,El Tabo,1,Accesible,5,San Antonio,Valparaiso,0
5606,Santo Domingo,1,Accesible,5,San Antonio,Valparaiso,0
5701,San Felipe,1,Accesible,5,San Felipe de Aconcagua,Valparaiso,0
5702,Catemu,1,Accesible,5,San Felipe de Aconcagua,Valparaiso,0
5703,Llay Llay,1,Accesible,5,San Felipe de Aconcagua,Valparaiso,0
5704,Panquehue,1,Accesible,5,San Felipe de Aconcagua,Valparaiso,0
5705,Putaendo,2,Medianamente,5,San Felipe de Aconcagua,Valparaiso,0
5706,Santa María,2,Medianamente,5,San Felipe de Aconcagua,Valparaiso,0
6101,Rancagua,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6102,Codegua,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6103,Coinco,2,Medianamente,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6104,Coltauco,2,Medianamente,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6105,Doñihue,2,Medianamente,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6106,Graneros,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6107,Las Cabras,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6108,Machalí,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6109,Malloa,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6110,Mostazal,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6111,Olivar,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6112,Peumo,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6113,Pichidegua,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6114,Quinta de Tilcoco,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6115,Rengo,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6116,Requinoa,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6117,San Vicente,1,Accesible,6,Cachapoal,del Libertador Gral. Bernardo O'higgins,0
6201,Pichilemu,3,No Accesible,6,Cardenal Caro,del Libertador Gral. Bernardo O'higgins,0
6202,La Estrella,3,No Accesible,6,Cardenal Caro,del Libertador Gral. Bernardo O'higgins,0
6203,Litueche,3,No Accesible,6,Cardenal Caro,del Libertador Gral. Bernardo O'higgins,0
6204,Marchihue,2,Medianamente,6,Cardenal Caro,del Libertador Gral. Bernardo O'higgins,0
6205,Navidad,3,No Accesible,6,Cardenal Caro,del Libertador Gral. Bernardo O'higgins,0
6206,Paredones,3,No Accesible,6,Cardenal Caro,del Libertador Gral. Bernardo O'higgins,0
6301,San Fernando,1,Accesible,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6302,Chépica,2,Medianamente,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6303,Chimbarongo,1,Accesible,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6304,Lolol,2,Medianamente,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6305,Nancagua,2,Medianamente,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6306,Palmilla,2,Medianamente,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6307,Peralillo,2,Medianamente,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6308,Placilla,1,Accesible,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6309,Pumanque,2,Medianamente,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
6310,Santa Cruz,1,Accesible,6,Colchagua,del Libertador Gral. Bernardo O'higgins,0
7101,Talca,1,Accesible,7,Talca,del Maule,0
7102,Constitución,2,Medianamente,7,Talca,del Maule,0
7103,Curepto,3,No Accesible,7,Talca,del Maule,0
7104,Empedrado,3,No Accesible,7,Talca,del Maule,0
7105,Maule,1,Accesible,7,Talca,del Maule,0
7106,Pelarco,1,Accesible,7,Talca,del Maule,0
7107,Pencahue,2,Medianamente,7,Talca,del Maule,0
7108,Río Claro,2,Medianamente,7,Talca,del Maule,0
7109,San Clemente,1,Accesible,7,Talca,del Maule,0
7110,San Rafael,1,Accesible,7,Talca,del Maule,0
7201,Cauquenes,1,Accesible,7,Cauquenes,del Maule,0
7202,Chanco,3,No Accesible,7,Cauquenes,del Maule,0
7203,Pelluhue,3,No Accesible,7,Cauquenes,del Maule,0
7301,Curicó,1,Accesible,7,Curico,del Maule,0
7302,Hualañé,2,Medianamente,7,Curico,del Maule,0
7303,Licantén,2,Medianamente,7,Curico,del Maule,0
7304,Molina,1,Accesible,7,Curico,del Maule,0
7305,Rauco,1,Accesible,7,Curico,del Maule,0
7306,Romeral,1,Accesible,7,Curico,del Maule,0
7307,Sagrada Familia,1,Accesible,7,Curico,del Maule,0
7308,Teno,1,Accesible,7,Curico,del Maule,0
7309,Vichuquén,3,No Accesible,7,Curico,del Maule,0
7401,Linares,1,Accesible,7,Linares,del Maule,0
7402,Colbún,2,Medianamente,7,Linares,del Maule,0
7403,Longaví,1,Accesible,7,Linares,del Maule,0
7404,Parral,1,Accesible,7,Linares,del Maule,0
7405,Retiro,1,Accesible,7,Linares,del Maule,0
7406,San Javier,1,Accesible,7,Linares,del Maule,0
7407,Villa Alegre,1,Accesible,7,Linares,del Maule,0
7408,Yerbas Buenas,2,Medianamente,7,Linares,del Maule,0
8101,Concepción,1,Accesible,8,Concepcion,del BioBio,0
8102,Coronel,1,Accesible,8,Concepcion,del BioBio,0
8103,Chiguayante,1,Accesible,8,Concepcion,del BioBio,0
8104,Florida,3,No Accesible,8,Concepcion,del BioBio,0
8105,Hualqui,1,Accesible,8,Concepcion,del BioBio,0
8106,Lota,1,Accesible,8,Concepcion,del BioBio,0
8107,Penco,1,Accesible,8,Concepcion,del BioBio,0
8108,San Pedro De La Paz,1,Accesible,8,Concepcion,del BioBio,0
8109,Santa Juana,3,No Accesible,8,Concepcion,del BioBio,0
8110,Talcahuano,1,Accesible,8,Concepcion,del BioBio,0
8111,Tomé,1,Accesible,8,Concepcion,del BioBio,0
8112,Hualpén,1,Accesible,8,Concepcion,del BioBio,0
8201,Lebu,3,No Accesible,8,Arauco,del BioBio,0
8202,Arauco,2,Medianamente,8,Arauco,del BioBio,0
8203,Cañete,2,Medianamente,8,Arauco,del BioBio,0
8204,Contulmo,3,No Accesible,8,Arauco,del BioBio,0
8205,Curanilahue,2,Medianamente,8,Arauco,del BioBio,0
8206,Los Alamos,3,No Accesible,8,Arauco,del BioBio,0
8207,Tirua,3,No Accesible,8,Arauco,del BioBio,0
8301,Los Angeles,1,Accesible,8,Biobio,del BioBio,0
8302,Antuco,3,No Accesible,8,Biobio,del BioBio,0
8303,Cabrero,1,Accesible,8,Biobio,del BioBio,0
8304,Laja,2,Medianamente,8,Biobio,del BioBio,0
8305,Mulchén,1,Accesible,8,Biobio,del BioBio,0
8306,Nacimiento,2,Medianamente,8,Biobio,del BioBio,0
8307,Negrete,2,Medianamente,8,Biobio,del BioBio,0
8308,Quilaco,2,Medianamente,8,Biobio,del BioBio,0
8309,Quilleco,2,Medianamente,8,Biobio,del BioBio,0
8310,San Rosendo,3,No Accesible,8,Biobio,del BioBio,0
8311,Santa Bárbara,3,No Accesible,8,Biobio,del BioBio,0
8312,Tucapel,3,No Accesible,8,Biobio,del BioBio,0
8313,Yumbel,1,Accesible,8,Biobio,del BioBio,0
8314,Alto Biobío,3,No Accesible,8,Biobio,del BioBio,0
8401,Chillán,1,Accesible,8,Ñuble,del BioBio,0
8402,Bulnes,1,Accesible,8,Ñuble,del BioBio,0
8403,Cobquecura,3,No Accesible,8,Ñuble,del BioBio,0
8404,Coelemu,3,No Accesible,8,Ñuble,del BioBio,0
8405,Coihueco,2,Medianamente,8,Ñuble,del BioBio,0
8406,Chillán Viejo,1,Accesible,8,Ñuble,del BioBio,0
8407,El Carmen,2,Medianamente,8,Ñuble,del BioBio,0
8408,Ninhue,2,Medianamente,8,Ñuble,del BioBio,0
8409,Ñiquén,2,Medianamente,8,Ñuble,del BioBio,0
8410,Pemuco,2,Medianamente,8,Ñuble,del BioBio,0
8411,Pinto,3,No Accesible,8,Ñuble,del BioBio,0
8412,Portezuelo,2,Medianamente,8,Ñuble,del BioBio,0
8413,Quillón,2,Medianamente,8,Ñuble,del BioBio,0
8414,Quirihue,3,No Accesible,8,Ñuble,del BioBio,0
8415,Ranquil,2,Medianamente,8,Ñuble,del BioBio,0
8416,San Carlos,1,Accesible,8,Ñuble,del BioBio,0
8417,San Fabián,2,Medianamente,8,Ñuble,del BioBio,0
8418,San Ignacio,2,Medianamente,8,Ñuble,del BioBio,0
8419,San Nicolás,1,Accesible,8,Ñuble,del BioBio,0
8420,Trehuaco,3,No Accesible,8,Ñuble,del BioBio,0
8421,Yungay,1,Accesible,8,Ñuble,del BioBio,0
9101,Temuco,1,Accesible,9,Cautin,de la Araucania,0
9102,Carahue,2,Medianamente,9,Cautin,de la Araucania,0
9103,Cunco,2,Medianamente,9,Cautin,de la Araucania,0
9104,Curarrehue,3,No Accesible,9,Cautin,de la Araucania,0
9105,Freire,1,Accesible,9,Cautin,de la Araucania,0
9106,Galvarino,1,Accesible,9,Cautin,de la Araucania,0
9107,Gorbea,1,Accesible,9,Cautin,de la Araucania,0
9108,Lautaro,1,Accesible,9,Cautin,de la Araucania,0
9109,Loncoche,1,Accesible,9,Cautin,de la Araucania,0
9110,Melipeuco,3,No Accesible,9,Cautin,de la Araucania,0
9111,Nueva Imperial,1,Accesible,9,Cautin,de la Araucania,0
9112,Padre Las Casas,1,Accesible,9,Cautin,de la Araucania,0
9113,Perquenco,1,Accesible,9,Cautin,de la Araucania,0
9114,Pitrufquén,1,Accesible,9,Cautin,de la Araucania,0
9115,Pucón,1,Accesible,9,Cautin,de la Araucania,0
9116,Saavedra,2,Medianamente,9,Cautin,de la Araucania,0
9117,Teodoro Schmidt,2,Medianamente,9,Cautin,de la Araucania,0
9118,Toltén,2,Medianamente,9,Cautin,de la Araucania,0
9119,Vilcún,2,Medianamente,9,Cautin,de la Araucania,0
9120,Villarrica,1,Accesible,9,Cautin,de la Araucania,0
9121,Cholchol,2,Medianamente,9,Cautin,de la Araucania,0
9201,Angol,1,Accesible,9,Malleco,de la Araucania,0
9202,Collipulli,1,Accesible,9,Malleco,de la Araucania,0
9203,Curacautín,2,Medianamente,9,Malleco,de la Araucania,0
9204,Ercilla,1,Accesible,9,Malleco,de la Araucania,0
9205,Lonquimay,3,No Accesible,9,Malleco,de la Araucania,0
9206,Los Sauces,2,Medianamente,9,Malleco,de la Araucania,0
9207,Lumaco,2,Medianamente,9,Malleco,de la Araucania,0
9208,Purén,2,Medianamente,9,Malleco,de la Araucania,0
9209,Renaico,1,Accesible,9,Malleco,de la Araucania,0
9210,Traiguén,1,Accesible,9,Malleco,de la Araucania,0
9211,Victoria,1,Accesible,9,Malleco,de la Araucania,0
10101,Puerto Montt,1,Accesible,10,Llanquihue,de los Lagos,0
10102,Calbuco,1,Accesible,10,Llanquihue,de los Lagos,0
10103,Cochamó,3,No Accesible,10,Llanquihue,de los Lagos,0
10104,Fresia,1,Accesible,10,Llanquihue,de los Lagos,0
10105,Frutillar,1,Accesible,10,Llanquihue,de los Lagos,0
10106,Los Muermos,2,Medianamente,10,Llanquihue,de los Lagos,0
10107,Llanquihue,1,Accesible,10,Llanquihue,de los Lagos,0
10108,Maullín,2,Medianamente,10,Llanquihue,de los Lagos,0
10109,Puerto Varas,1,Accesible,10,Llanquihue,de los Lagos,0
10201,Castro,1,Accesible,10,Chiloe,de los Lagos,0
10202,Ancud,1,Accesible,10,Chiloe,de los Lagos,0
10203,Chonchi,1,Accesible,10,Chiloe,de los Lagos,0
10204,Curaco de Vélez,2,Medianamente,10,Chiloe,de los Lagos,0
10205,Dalcahue,1,Accesible,10,Chiloe,de los Lagos,0
10206,Puqueldón,2,Medianamente,10,Chiloe,de los Lagos,0
10207,Queilén,2,Medianamente,10,Chiloe,de los Lagos,0
10208,Quellón,2,Medianamente,10,Chiloe,de los Lagos,0
10209,Quemchi,2,Medianamente,10,Chiloe,de los Lagos,0
10210,Quinchao,2,Medianamente,10,Chiloe,de los Lagos,0
10301,Osorno,1,Accesible,10,Osorno,de los Lagos,0
10302,Puerto Octay,1,Accesible,10,Osorno,de los Lagos,0
10303,Purranque,1,Accesible,10,Osorno,de los Lagos,0
10304,Puyehue,1,Accesible,10,Osorno,de los Lagos,0
10305,Río Negro,1,Accesible,10,Osorno,de los Lagos,0
10306,San Juan de la Costa,3,No Accesible,10,Osorno,de los Lagos,0
10307,San Pablo,3,No Accesible,10,Osorno,de los Lagos,0
10401,Chaitén,3,No Accesible,10,Palena,de los Lagos,0
10402,Futaleufú,3,No Accesible,10,Palena,de los Lagos,0
10403,Hualaihue,3,No Accesible,10,Palena,de los Lagos,0
10404,Palena,3,No Accesible,10,Palena,de los Lagos,0
11101,Coihaique,3,No Accesible,11,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo,1
11102,Lago Verde,3,No Accesible,11,Coihaique,Aysén del Gral. Carlos Ibáñez del Campo,1
11201,Aisén,3,No Accesible,11,Aisen,Aysén del Gral. Carlos Ibáñez del Campo,1
11202,Cisnes,3,No Accesible,11,Aisen,Aysén del Gral. Carlos Ibáñez del Campo,1
11203,Guaitecas,3,No Accesible,11,Aisen,Aysén del Gral. Carlos Ibáñez del Campo,1
11301,Cochrane,3,No Accesible,11,Capitan Prat,Aysén del Gral. Carlos Ibáñez del Campo,1
11302,Ohiggins,3,No Accesible,11,Capitan Prat,Aysén del Gral. Carlos Ibáñez del Campo,1
11303,Tortel,3,No Accesible,11,Capitan Prat,Aysén del Gral. Carlos Ibáñez del Campo,1
11401,Chile Chico,3,No Accesible,11,General Carrera,Aysén del Gral. Carlos Ibáñez del Campo,1
11402,Río Ibáñez,3,No Accesible,11,General Carrera,Aysén del Gral. Carlos Ibáñez del Campo,1
12101,Punta Arenas,1,Accesible,12,Magallanes,Magallanes,1
12102,Laguna Blanca,3,No Accesible,12,Magallanes,Magallanes,1
12103,Río Verde,3,No Accesible,12,Magallanes,Magallanes,1
12104,San Gregorio,3,No Accesible,12,Magallanes,Magallanes,1
12201,Cabo de Hornos,3,No Accesible,12,Antartica Chilena,Magallanes,1
12202,Antártica,3,No Accesible,12,Antartica Chilena,Magallanes,1
12301,Porvenir,3,No Accesible,12,Tierra del Fuego,Magallanes,1
12302,Primavera,3,No Accesible,12,Tierra del Fuego,Magallanes,1
12303,Timaukel,3,No Accesible,12,Tierra del Fuego,Magallanes,1
12401,Natales,2,Medianamente,12,Ultima Esperanza,Magallanes,1
12402,Torres del Paine,2,Medianamente,12,Ultima Esperanza,Magallanes,1
13101,Santiago,1,Accesible,13,Santiago,Metropolitana,0
13102,Cerrillos,1,Accesible,13,Santiago,Metropolitana,0
13103,Cerro Navia,1,Accesible,13,Santiago,Metropolitana,0
13104,Conchalí,1,Accesible,13,Santiago,Metropolitana,0
13105,El Bosque,1,Accesible,13,Santiago,Metropolitana,0
13106,Estación Central,1,Accesible,13,Santiago,Metropolitana,0
13107,Huechuraba,1,Accesible,13,Santiago,Metropolitana,0
13108,Independencia,1,Accesible,13,Santiago,Metropolitana,0
13109,La Cisterna,1,Accesible,13,Santiago,Metropolitana,0
13110,La Florida,1,Accesible,13,Santiago,Metropolitana,0
13111,La Granja,1,Accesible,13,Santiago,Metropolitana,0
13112,La Pintana,1,Accesible,13,Santiago,Metropolitana,0
13113,La Reina,1,Accesible,13,Santiago,Metropolitana,0
13114,Las Condes,1,Accesible,13,Santiago,Metropolitana,0
13115,Lo Barnechea,1,Accesible,13,Santiago,Metropolitana,0
13116,Lo Espejo,1,Accesible,13,Santiago,Metropolitana,0
13117,Lo Prado,1,Accesible,13,Santiago,Metropolitana,0
13118,Macul,1,Accesible,13,Santiago,Metropolitana,0
13119,Maipú,1,Accesible,13,Santiago,Metropolitana,0
13120,Ñuñoa,1,Accesible,13,Santiago,Metropolitana,0
13121,Pedro Aguirre Cerda,1,Accesible,13,Santiago,Metropolitana,0
13122,Peñalolén,1,Accesible,13,Santiago,Metropolitana,0
13123,Providencia,1,Accesible,13,Santiago,Metropolitana,0
13124,Pudahuel,1,Accesible,13,Santiago,Metropolitana,0
13125,Quilicura,1,Accesible,13,Santiago,Metropolitana,0
13126,Quinta Normal,1,Accesible,13,Santiago,Metropolitana,0
13127,Recoleta,1,Accesible,13,Santiago,Metropolitana,0
13128,Renca,1,Accesible,13,Santiago,Metropolitana,0
13129,San Joaquín,1,Accesible,13,Santiago,Metropolitana,0
13130,San Miguel,1,Accesible,13,Santiago,Metropolitana,0
13131,San Ramón,1,Accesible,13,Santiago,Metropolitana,0
13132,Vitacura,1,Accesible,13,Santiago,Metropolitana,0
13201,Puente Alto,1,Accesible,13,Cordillera,Metropolitana,0
13202,Pirque,1,Accesible,13,Cordillera,Metropolitana,0
13203,San José de Maipo,2,Medianamente,13,Cordillera,Metropolitana,0
13301,Colina,1,Accesible,13,Chacabuco,Metropolitana,0
13302,Lampa,1,Accesible,13,Chacabuco,Metropolitana,0
13303,Til til,2,Medianamente,13,Chacabuco,Metropolitana,0
13401,San Bernardo,1,Accesible,13,Maipo,Metropolitana,0
13402,Buin,1,Accesible,13,Maipo,Metropolitana,0
13403,Calera de Tango,1,Accesible,13,Maipo,Metropolitana,0
13404,Paine,1,Accesible,13,Maipo,Metropolitana,0
13501,Melipilla,1,Accesible,13,Melipilla,Metropolitana,0
13502,Alhué,3,No Accesible,13,Melipilla,Metropolitana,0
13503,Curacaví,1,Accesible,13,Melipilla,Metropolitana,0
13504,María Pinto,1,Accesible,13,Melipilla,Metropolitana,0
13505,San Pedro,3,No Accesible,13,Melipilla,Metropolitana,0
13601,Talagante,1,Accesible,13,Talagante,Metropolitana,0
13602,El Monte,1,Accesible,13,Talagante,Metropolitana,0
13603,Isla de Maipo,1,Accesible,13,Talagante,Metropolitana,0
13604,Padre Hurtado,1,Accesible,13,Talagante,Metropolitana,0
13605,Peñaflor,1,Accesible,13,Talagante,Metropolitana,0
14101,Valdivia,1,Accesible,14,Valdivia,Los Ríos,0
14102,Corral,2,Medianamente,14,Valdivia,Los Ríos,0
14103,Lanco,1,Accesible,14,Valdivia,Los Ríos,0
14104,Los Lagos,1,Accesible,14,Valdivia,Los Ríos,0
14105,Máfil,1,Accesible,14,Valdivia,Los Ríos,0
14106,Mariquina,1,Accesible,14,Valdivia,Los Ríos,0
14107,Paillaco,1,Accesible,14,Valdivia,Los Ríos,0
14108,Panguipulli,2,Medianamente,14,Valdivia,Los Ríos,0
14201,La Unión,1,Accesible,14,Ranco,Los Ríos,0
14202,Futrono,3,No Accesible,14,Ranco,Los Ríos,0
14203,Lago Ranco,3,No Accesible,14,Ranco,Los Ríos,0
14204,Río Bueno,1,Accesible,14,Ranco,Los Ríos,0
15101,Arica,1,Accesible,15,Arica,Arica y Parinacota,1
15102,Camarones,2,Medianamente,15,Arica,Arica y Parinacota,1
15201,Putre,3,No Accesible,15,Parinacota,Arica y Parinacota,1
15202,General Lagos,3,No Accesible,15,Parinacota,Arica y Parinacota,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
